Date,Open,High,Low,Close,Volume,NASDAQ,Change
14-09-2015,29.145,29.2225,28.715,28.827499,233453600,4308.759766,0.274999
15-09-2015,28.9825,29.1325,28.605,29.07,173364800,4360.279785,0.242501
16-09-2015,29.0625,29.135,28.860001,29.102501,148694000,4383.669922,0.032501
17-09-2015,28.915001,29.122499,28.43,28.48,256450400,4384.959961,-0.622501
18-09-2015,28.0525,28.575001,27.967501,28.362499,297141200,4323.859863,-0.117501
21-09-2015,28.4175,28.842501,28.415001,28.8025,200888000,4336.129883,0.440001
22-09-2015,28.344999,28.545,28.129999,28.35,201384800,4274.100098,-0.4525
23-09-2015,28.407499,28.68,28.325001,28.58,143026800,4273.529785,0.23
24-09-2015,28.3125,28.875,28.092501,28.75,200878000,4261.100098,0.17
25-09-2015,29.110001,29.172501,28.504999,28.6775,224607600,4224.740234,-0.0725
28-09-2015,28.4625,28.6425,28.110001,28.110001,208436000,4103.470215,-0.567499
29-09-2015,28.2075,28.377501,26.965,27.264999,293461600,4083.370117,-0.845002
30-09-2015,27.5425,27.885,27.182501,27.575001,265892000,4181.060059,0.310002
01-10-2015,27.2675,27.405001,26.827499,27.395,255716400,4192.959961,-0.180001
02-10-2015,27.002501,27.752501,26.887501,27.594999,232079200,4267.450195,0.199999
05-10-2015,27.469999,27.842501,27.2675,27.695,208258800,4331.430176,0.100001
06-10-2015,27.657499,27.934999,27.442499,27.827499,192787200,4306.700195,0.132499
07-10-2015,27.934999,27.942499,27.352501,27.695,187062400,4333.459961,-0.132499
08-10-2015,27.547501,27.547501,27.0525,27.375,247918400,4350.149902,-0.32
09-10-2015,27.5,28.07,27.372499,28.030001,211064400,4370.009766,0.655001
12-10-2015,28.182501,28.1875,27.860001,27.9,121868800,4382.560059,-0.130001
13-10-2015,27.705,28.112499,27.67,27.9475,132197200,4352.939941,0.0475
14-10-2015,27.8225,27.879999,27.389999,27.5525,177849600,4346.919922,-0.395
15-10-2015,27.7325,28.025,27.622499,27.965,150694000,4418.220215,0.4125
16-10-2015,27.945,28,27.6325,27.76,156930400,4438.620117,-0.205
19-10-2015,27.700001,27.9375,27.5275,27.932501,119036800,4462.069824,0.172501
20-10-2015,27.834999,28.5425,27.705,28.442499,195871200,4438.180176,0.509998
21-10-2015,28.5,28.895,28.424999,28.440001,167180800,4413.52002,-0.002498
22-10-2015,28.5825,28.875,28.525,28.875,166616400,4503.220215,0.434999
23-10-2015,29.174999,29.807501,29.0825,29.77,237467600,4624.089844,0.895
26-10-2015,29.52,29.532499,28.73,28.82,265335200,4630.850098,-0.95
27-10-2015,28.85,29.135,28.497499,28.637501,279537600,4639.22998,-0.182499
28-10-2015,29.2325,29.825001,29.014999,29.817499,342205600,4678.580078,1.179998
29-10-2015,29.674999,30.172501,29.567499,30.1325,204909200,4670.759766,0.315001
30-10-2015,30.247499,30.305,29.862499,29.875,197461200,4648.830078,-0.2575
02-11-2015,30.200001,30.34,29.9025,30.295,128813200,4703.919922,0.42
03-11-2015,30.1975,30.872499,30.174999,30.6425,182076000,4719.049805,0.3475
04-11-2015,30.782499,30.955,30.405001,30.5,179544400,4717.549805,-0.1425
05-11-2015,30.4625,30.672501,30.045,30.23,158210800,4702.899902,-0.27
06-11-2015,30.2775,30.452499,30.155001,30.264999,132169200,4707.22998,0.034999
09-11-2015,30.24,30.452499,30.012501,30.1425,135485600,4655.52002,-0.122499
10-11-2015,29.225,29.5175,29.014999,29.192499,236511600,4641.72998,-0.950001
11-11-2015,29.092501,29.355,28.8025,29.0275,180872000,4636.939941,-0.164999
12-11-2015,29.065001,29.205,28.9125,28.93,130102400,4588.930176,-0.0975
13-11-2015,28.799999,28.8925,28.067499,28.084999,183249600,4502.140137,-0.845001
16-11-2015,27.844999,28.559999,27.75,28.545,152426800,4565.470215,0.460001
17-11-2015,28.73,28.762501,28.33,28.422501,110467600,4565.819824,-0.122499
18-11-2015,28.940001,29.372499,28.875,29.3225,186698800,4653.439941,0.899999
19-11-2015,29.41,29.9375,29.190001,29.695,173183200,4655.350098,0.3725
20-11-2015,29.799999,29.98,29.7125,29.825001,137148400,4686.359863,0.130001
23-11-2015,29.817499,29.932501,29.334999,29.4375,129930000,4674.790039,-0.387501
24-11-2015,29.3325,29.8375,29.280001,29.719999,171212800,4669.410156,0.282499
25-11-2015,29.8025,29.807501,29.48,29.5075,85553200,4672.879883,-0.212499
27-11-2015,29.5725,29.602501,29.4,29.452499,52185600,4680.470215,-0.055001
30-11-2015,29.497499,29.852501,29.4375,29.575001,156721200,4664.509766,0.122502
01-12-2015,29.6875,29.702499,29.215,29.334999,139409600,4716.160156,-0.240002
02-12-2015,29.334999,29.5275,29.02,29.07,133546400,4686.220215,-0.264999
03-12-2015,29.137501,29.1975,28.555,28.799999,166278000,4606.75,-0.270001
04-12-2015,28.8225,29.8125,28.7775,29.7575,231108000,4716.120117,0.957501
07-12-2015,29.745001,29.965,29.452499,29.57,128336800,4693.620117,-0.1875
