Date,Open,High,Low,Close,Volume,Day of the week,Change,NASDAQ
15-04-2015,19.2325,19.289,19.082001,19.172501,38664000,4,-0.083,4424.529785
16-04-2015,19.1845,19.372499,19.1775,19.302,41608000,5,0.129499,4418.830078
17-04-2015,19.1315,19.177999,18.719999,18.778,76794000,6,-0.524,4351.799805
20-04-2015,18.9275,19.597,18.85,19.4755,100322000,2,0.6975,4417.399902
21-04-2015,19.5655,19.73,19.34,19.559,92870000,3,0.0835,4435.97998
22-04-2015,19.595501,19.714001,19.4,19.49,69494000,4,-0.069,4460.810059
23-04-2015,19.5105,19.594,19.307501,19.4995,159600000,5,0.0095,4477.069824
24-04-2015,21.950001,22.6325,21.950001,22.254999,343538000,6,2.755499,4536.779785
27-04-2015,22.193001,22.349501,21.870501,21.927999,108618000,2,-0.327,4525.040039
28-04-2015,21.925501,21.950001,21.402,21.4655,82810000,3,-0.462499,4515.27002
29-04-2015,21.3375,21.712,21.3015,21.4685,72434000,4,0.003,4488.149902
30-04-2015,21.355499,21.5875,20.962,21.089001,72958000,5,-0.379499,4414.25
01-05-2015,21.191,21.282,20.799999,21.143499,71316000,6,0.054498,4479.060059
04-05-2015,21.24,21.488501,21.121,21.152,45408000,2,0.008501,4482.609863
05-05-2015,21.1425,21.3755,21.051001,21.0595,57128000,3,-0.0925,4409.390137
06-05-2015,21.071501,21.136,20.727501,20.955,51050000,4,-0.1045,4379.75
07-05-2015,21.2075,21.424999,21.1425,21.344,55322000,5,0.389,4401.549805
08-05-2015,21.5375,21.76,21.508499,21.6845,58176000,6,0.3405,4458.649902
11-05-2015,21.6255,21.950001,21.568501,21.6425,47874000,2,-0.042,4438.640137
12-05-2015,21.554001,21.6625,21.335501,21.551001,38956000,3,-0.091499,4420.649902
13-05-2015,21.499001,21.6765,21.290001,21.3435,39926000,4,-0.207501,4426.560059
14-05-2015,21.4725,21.65,21.3505,21.614,37770000,5,0.2705,4495.040039
15-05-2015,21.4,21.52,21.215,21.299999,84806000,6,-0.314001,4494.290039
18-05-2015,21.299999,21.363501,21.073,21.261999,47804000,2,-0.038,4512.950195
19-05-2015,21.2435,21.412001,21.0315,21.085501,49284000,3,-0.176498,4503.720215
20-05-2015,21.030001,21.355,20.917999,21.193001,43924000,4,0.1075,4505.299805
21-05-2015,21.4,21.844999,21.4,21.581499,82428000,5,0.388498,4529.470215
22-05-2015,21.577499,21.622,21.380501,21.3815,40412000,6,-0.199999,4527.160156
26-05-2015,21.309999,21.35,21.1,21.2735,44884000,3,-0.108,4472.959961
27-05-2015,21.372499,21.592501,21.2505,21.570999,44622000,4,0.297499,4546.060059
28-05-2015,21.4855,21.567499,21.2735,21.328501,38248000,5,-0.242498,4535.660156
29-05-2015,21.3615,21.625,21.3615,21.4615,60322000,6,0.132999,4508.25
01-06-2015,21.52,21.658001,21.309999,21.546,45066000,2,0.0845,4521.850098
02-06-2015,21.5035,21.661501,21.3125,21.5495,33378000,3,0.0035,4508.890137
03-06-2015,21.719999,21.9195,21.637501,21.8295,54558000,4,0.28,4519.859863
04-06-2015,21.719999,21.837999,21.462999,21.539,50216000,5,-0.2905,4487.029785
05-06-2015,21.483,21.540001,21.325001,21.3475,38158000,6,-0.1915,4477.189941
08-06-2015,21.281,21.34,21.071501,21.174999,43450000,2,-0.172501,4431.509766
09-06-2015,21.148001,21.3745,20.957001,21.274,45774000,3,0.099001,4427.609863
10-06-2015,21.323,21.610001,21.283001,21.5385,43446000,4,0.2645,4485.459961
11-06-2015,21.6145,21.9445,21.5735,21.6485,58450000,5,0.11,4488.470215
